LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT1,PAY_AMT1,default payment next month
20000,2,2,1,24,3913,0,1
120000,2,2,2,26,2682,0,1
90000,2,2,2,34,29239,1518,0
50000,2,2,1,37,46990,2000,0
50000,1,2,1,57,8617,2000,0
50000,1,1,2,37,64400,2500,0
500000,1,1,2,29,367965,55000,0
100000,2,2,2,23,11876,380,0
140000,2,3,1,28,11285,3329,0
20000,1,3,2,35,0,0,0
200000,2,3,2,34,11073,2306,0
260000,2,1,2,51,12261,21818,0
630000,2,2,2,41,12137,1000,0
70000,1,2,2,30,65802,3200,1
250000,1,1,2,29,70887,3000,0
50000,2,3,3,23,50614,0,0
20000,1,1,2,24,15376,3200,1
320000,1,1,1,49,253286,10358,0
360000,2,1,1,49,0,0,0
180000,2,1,2,29,0,0,0
130000,2,3,2,39,38358,3000,0
120000,2,2,1,39,316,316,1
70000,2,2,2,26,41087,2007,1
450000,2,1,1,40,5512,19428,1
90000,1,1,2,23,4744,5757,0
50000,1,3,2,23,47620,1973,0
60000,1,1,2,27,-109,0,1
50000,2,3,2,30,22541,1300,0
50000,2,3,1,47,650,3415,0
50000,1,1,2,26,15329,1500,0
230000,2,1,2,27,16646,17270,0
50000,1,2,2,33,30518,1718,1
100000,1,1,2,32,93036,3023,0
500000,2,2,1,54,10929,4152,0
500000,1,1,1,58,13709,5006,0
160000,1,1,2,30,30265,131,0
280000,1,2,1,40,186503,8026,0
60000,2,2,2,22,15054,1500,0
50000,1,1,2,25,0,780,1
280000,1,1,2,31,498,9075,0
360000,1,1,2,33,218668,10000,0
70000,2,1,2,25,67521,3000,0
10000,1,2,2,22,1877,1500,0
140000,2,2,1,37,59504,3000,0
40000,2,1,2,30,18927,3000,0
210000,1,1,2,29,0,0,1
20000,2,1,2,22,14028,3000,1
150000,2,5,2,46,4463,1013,1
380000,1,2,2,32,22401,21540,0
20000,1,1,2,24,17447,1318,0
70000,1,3,2,42,37042,0,1
100000,2,3,3,43,61559,2000,0
310000,2,2,1,49,13465,7875,0
180000,2,1,2,25,41402,1300,0
150000,2,1,2,29,46224,1600,0
500000,2,1,1,45,1905,3640,0
180000,2,3,1,34,16386,8500,0
180000,2,2,1,34,175886,8083,0
200000,2,1,2,34,1587,0,0
400000,2,2,1,29,400134,17000,0
500000,2,3,1,28,22848,1516,1
70000,1,2,1,39,70800,4025,0
50000,1,1,2,29,24987,0,1
50000,2,2,1,46,28718,1000,1
130000,2,2,1,51,99,0,0
200000,1,1,1,57,152519,0,1
10000,1,2,1,56,2097,2300,1
210000,2,1,2,30,300,300,0
130000,2,3,2,29,-190,0,0
20000,1,5,2,22,18565,0,0
80000,1,1,2,31,780,0,0
320000,1,2,2,29,58267,2500,1
200000,2,2,1,32,9076,5818,0
290000,2,1,2,37,0,0,0
340000,1,1,2,32,3048,5713,0
20000,1,2,2,24,14619,2850,0
50000,1,3,2,25,42838,1759,0
300000,2,1,1,45,291,291,0
30000,2,2,2,22,28387,1686,1
240000,2,2,2,44,0,0,1
470000,2,3,3,33,165254,6400,0
360000,2,1,2,26,23411,4796,0
60000,1,3,2,30,26324,1576,1
400000,2,2,1,44,131595,10700,0
50000,2,3,2,49,48909,1676,0
